Vc,f,ap,T,Kp,Ra,Rt,Fr,Tpº,RD,OEE_P,OEE_I,MTTc,MPROD,Cp,MO,ROI,TIR,TIRM,VPL,C_ENER,y
100.0,0.1,0.15,57.0,2.46,0.62,3.0,339.38,506.55,71.22,0.5290000873942954,0.9907192967123808,209.66508048286087,133.45963111576123,166.0113815647617,0.011837014495466045,0.07586631649403376,0.9924298119624172,0.32582900626091305,17180617.797463436,108625.16494577944,CC6050
225.0,0.1,0.15,29.5,1.52,0.64,3.0,235.38,641.23,90.32,0.39097906205937893,0.9867464724725635,154.96151790366818,222.00790530611494,165.33089449223647,0.01588753278430673,0.16938767142586186,2.1155532673847097,0.429170981303455,40301429.83880158,107372.12820353439,CC6050
100.0,0.22,0.15,48.25,1.92,0.98,7.26,430.76,484.34,84.97,0.3937181292984547,0.9918400387710165,156.04712595329548,223.563217698131,165.14918946717458,0.016969110314437163,0.1821865549180148,2.2691493516543826,0.4391749144861108,43465633.135222785,107396.99508074904,CC6050
225.0,0.22,0.15,26.5,1.25,1.09,7.42,239.76,637.86,94.49,0.248995302376596,0.9906039508537133,98.68735630988898,318.3463106770612,164.82630303165567,0.018891053383002187,0.2888104447611855,3.5486587110238546,0.5047422260125809,69825718.67907967,106083.11540818014,CC6050
100.0,0.1,0.33,58.5,3.01,0.65,3.02,449.37,496.28,76.39,0.52917018315432,0.9909543558435159,209.73249661768813,133.50254399598225,165.997415749298,0.011920144349416559,0.07642368155484454,0.9991409864785389,0.3267099575004518,17318412.345230788,108626.70917598996,CC6050
225.0,0.1,0.33,26.0,1.76,0.72,2.84,242.35,572.32,92.49,0.3900390873816362,0.9849984966391678,154.58896623277616,221.47416365727244,165.3938389765592,0.015512863234766536,0.16499543664813407,2.062842232686323,0.425587548080741,39215559.827494115,107363.59455581562,CC6050
100.0,0.22,0.33,49.0,2.33,1.33,6.78,452.34,502.56,83.82,0.39378456381950244,0.9919635803302143,156.073456760292,223.60094091732378,165.14481371350988,0.01699515646720311,0.1824969845718104,2.2728746955571375,0.4394099303714078,43542379.09001235,107397.59821274015,CC6050
225.0,0.22,0.33,26.5,1.12,1.39,8.28,244.86,603.33,91.49,0.248995302376596,0.9906039508537133,98.68735630988898,318.3463106770612,164.82630303165567,0.018891053383002187,0.2888104447611855,3.5486587110238546,0.5047422260125809,69825718.67907967,106083.11540818014,CC6050
57.39,0.16,0.24,56.0,3.18,1.12,4.86,486.43,439.78,83.77,0.5387452885805288,0.9903795484182049,213.5275153665632,126.79781197539386,166.13908886971316,0.011076851965992993,0.06745047463099911,0.8909999049228802,0.3118415748205532,15100011.7366692,108713.63766301429,CC6050
267.61,0.16,0.24,22.5,1.18,1.97,4.62,221.23,537.86,88.22,0.2735338262469828,0.9878429410556896,108.41300986801502,300.31304672580336,164.94744560029935,0.018169966664884896,0.2620506428448896,3.2275390591538584,0.4905805051843138,63210028.061453596,106305.89068416035,CC6050
